File name,Plain text,SSML
csl2_rolling-0001,"你
","<!--ID=B7267351-473F-409D-9765-754A8EBCDE05;Version=1|{""VoiceNameToIdMapItems"":[{""Id"":""7881206a-84f7-48a2-b3d3-d42023552efb"",""Name"":""Microsoft Server Speech Text to Speech Voice (zh-TW, HsiaoYuNeural)"",""ShortName"":""zh-TW-HsiaoYuNeural"",""Locale"":""zh-TW"",""VoiceType"":""StandardVoice""}]}-->
<!--ID=5B95B1CC-2C7B-494F-B746-CF22A0E779B7;Version=1|{""Locales"":{""zh-TW"":{""AutoApplyCustomLexiconFiles"":[{}]}}}-->
<speak version=""1.0"" xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" xmlns:emo=""http://www.w3.org/2009/10/emotionml"" xml:lang=""zh-TW""><voice name=""zh-TW-HsiaoYuNeural"">你
</voice></speak>"
csl2_rolling-0002,"好
","<!--ID=B7267351-473F-409D-9765-754A8EBCDE05;Version=1|{""VoiceNameToIdMapItems"":[{""Id"":""7881206a-84f7-48a2-b3d3-d42023552efb"",""Name"":""Microsoft Server Speech Text to Speech Voice (zh-TW, HsiaoYuNeural)"",""ShortName"":""zh-TW-HsiaoYuNeural"",""Locale"":""zh-TW"",""VoiceType"":""StandardVoice""}]}-->
<!--ID=5B95B1CC-2C7B-494F-B746-CF22A0E779B7;Version=1|{""Locales"":{""zh-TW"":{""AutoApplyCustomLexiconFiles"":[{}]}}}-->
<speak version=""1.0"" xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" xmlns:emo=""http://www.w3.org/2009/10/emotionml"" xml:lang=""zh-TW""><voice name=""zh-TW-HsiaoYuNeural"">好
</voice></speak>"
csl2_rolling-0003,"我
","<!--ID=B7267351-473F-409D-9765-754A8EBCDE05;Version=1|{""VoiceNameToIdMapItems"":[{""Id"":""7881206a-84f7-48a2-b3d3-d42023552efb"",""Name"":""Microsoft Server Speech Text to Speech Voice (zh-TW, HsiaoYuNeural)"",""ShortName"":""zh-TW-HsiaoYuNeural"",""Locale"":""zh-TW"",""VoiceType"":""StandardVoice""}]}-->
<!--ID=5B95B1CC-2C7B-494F-B746-CF22A0E779B7;Version=1|{""Locales"":{""zh-TW"":{""AutoApplyCustomLexiconFiles"":[{}]}}}-->
<speak version=""1.0"" xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" xmlns:emo=""http://www.w3.org/2009/10/emotionml"" xml:lang=""zh-TW""><voice name=""zh-TW-HsiaoYuNeural"">我
</voice></speak>"
csl2_rolling-0004,"的
","<!--ID=B7267351-473F-409D-9765-754A8EBCDE05;Version=1|{""VoiceNameToIdMapItems"":[{""Id"":""7881206a-84f7-48a2-b3d3-d42023552efb"",""Name"":""Microsoft Server Speech Text to Speech Voice (zh-TW, HsiaoYuNeural)"",""ShortName"":""zh-TW-HsiaoYuNeural"",""Locale"":""zh-TW"",""VoiceType"":""StandardVoice""}]}-->
<!--ID=5B95B1CC-2C7B-494F-B746-CF22A0E779B7;Version=1|{""Locales"":{""zh-TW"":{""AutoApplyCustomLexiconFiles"":[{}]}}}-->
<speak version=""1.0"" xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" xmlns:emo=""http://www.w3.org/2009/10/emotionml"" xml:lang=""zh-TW""><voice name=""zh-TW-HsiaoYuNeural"">的
</voice></speak>"
csl2_rolling-0005,"名
","<!--ID=B7267351-473F-409D-9765-754A8EBCDE05;Version=1|{""VoiceNameToIdMapItems"":[{""Id"":""7881206a-84f7-48a2-b3d3-d42023552efb"",""Name"":""Microsoft Server Speech Text to Speech Voice (zh-TW, HsiaoYuNeural)"",""ShortName"":""zh-TW-HsiaoYuNeural"",""Locale"":""zh-TW"",""VoiceType"":""StandardVoice""}]}-->
<!--ID=5B95B1CC-2C7B-494F-B746-CF22A0E779B7;Version=1|{""Locales"":{""zh-TW"":{""AutoApplyCustomLexiconFiles"":[{}]}}}-->
<speak version=""1.0"" xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" xmlns:emo=""http://www.w3.org/2009/10/emotionml"" xml:lang=""zh-TW""><voice name=""zh-TW-HsiaoYuNeural"">名
</voice></speak>"
csl2_rolling-0006,"字
","<!--ID=B7267351-473F-409D-9765-754A8EBCDE05;Version=1|{""VoiceNameToIdMapItems"":[{""Id"":""7881206a-84f7-48a2-b3d3-d42023552efb"",""Name"":""Microsoft Server Speech Text to Speech Voice (zh-TW, HsiaoYuNeural)"",""ShortName"":""zh-TW-HsiaoYuNeural"",""Locale"":""zh-TW"",""VoiceType"":""StandardVoice""}]}-->
<!--ID=5B95B1CC-2C7B-494F-B746-CF22A0E779B7;Version=1|{""Locales"":{""zh-TW"":{""AutoApplyCustomLexiconFiles"":[{}]}}}-->
<speak version=""1.0"" xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" xmlns:emo=""http://www.w3.org/2009/10/emotionml"" xml:lang=""zh-TW""><voice name=""zh-TW-HsiaoYuNeural"">字
</voice></speak>"
csl2_rolling-0007,"叫
","<!--ID=B7267351-473F-409D-9765-754A8EBCDE05;Version=1|{""VoiceNameToIdMapItems"":[{""Id"":""7881206a-84f7-48a2-b3d3-d42023552efb"",""Name"":""Microsoft Server Speech Text to Speech Voice (zh-TW, HsiaoYuNeural)"",""ShortName"":""zh-TW-HsiaoYuNeural"",""Locale"":""zh-TW"",""VoiceType"":""StandardVoice""}]}-->
<!--ID=5B95B1CC-2C7B-494F-B746-CF22A0E779B7;Version=1|{""Locales"":{""zh-TW"":{""AutoApplyCustomLexiconFiles"":[{}]}}}-->
<speak version=""1.0"" xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" xmlns:emo=""http://www.w3.org/2009/10/emotionml"" xml:lang=""zh-TW""><voice name=""zh-TW-HsiaoYuNeural"">叫
</voice></speak>"
csl2_rolling-0008,"什
","<!--ID=B7267351-473F-409D-9765-754A8EBCDE05;Version=1|{""VoiceNameToIdMapItems"":[{""Id"":""7881206a-84f7-48a2-b3d3-d42023552efb"",""Name"":""Microsoft Server Speech Text to Speech Voice (zh-TW, HsiaoYuNeural)"",""ShortName"":""zh-TW-HsiaoYuNeural"",""Locale"":""zh-TW"",""VoiceType"":""StandardVoice""}]}-->
<!--ID=5B95B1CC-2C7B-494F-B746-CF22A0E779B7;Version=1|{""Locales"":{""zh-TW"":{""AutoApplyCustomLexiconFiles"":[{}]}}}-->
<speak version=""1.0"" xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" xmlns:emo=""http://www.w3.org/2009/10/emotionml"" xml:lang=""zh-TW""><voice name=""zh-TW-HsiaoYuNeural"">什
</voice></speak>"
csl2_rolling-0009,"麼
","<!--ID=B7267351-473F-409D-9765-754A8EBCDE05;Version=1|{""VoiceNameToIdMapItems"":[{""Id"":""7881206a-84f7-48a2-b3d3-d42023552efb"",""Name"":""Microsoft Server Speech Text to Speech Voice (zh-TW, HsiaoYuNeural)"",""ShortName"":""zh-TW-HsiaoYuNeural"",""Locale"":""zh-TW"",""VoiceType"":""StandardVoice""}]}-->
<!--ID=5B95B1CC-2C7B-494F-B746-CF22A0E779B7;Version=1|{""Locales"":{""zh-TW"":{""AutoApplyCustomLexiconFiles"":[{}]}}}-->
<speak version=""1.0"" xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" xmlns:emo=""http://www.w3.org/2009/10/emotionml"" xml:lang=""zh-TW""><voice name=""zh-TW-HsiaoYuNeural"">麼
</voice></speak>"
csl2_rolling-0010,"一
","<!--ID=B7267351-473F-409D-9765-754A8EBCDE05;Version=1|{""VoiceNameToIdMapItems"":[{""Id"":""7881206a-84f7-48a2-b3d3-d42023552efb"",""Name"":""Microsoft Server Speech Text to Speech Voice (zh-TW, HsiaoYuNeural)"",""ShortName"":""zh-TW-HsiaoYuNeural"",""Locale"":""zh-TW"",""VoiceType"":""StandardVoice""}]}-->
<!--ID=5B95B1CC-2C7B-494F-B746-CF22A0E779B7;Version=1|{""Locales"":{""zh-TW"":{""AutoApplyCustomLexiconFiles"":[{}]}}}-->
<speak version=""1.0"" xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" xmlns:emo=""http://www.w3.org/2009/10/emotionml"" xml:lang=""zh-TW""><voice name=""zh-TW-HsiaoYuNeural"">一
</voice></speak>"
csl2_rolling-0011,"二
","<!--ID=B7267351-473F-409D-9765-754A8EBCDE05;Version=1|{""VoiceNameToIdMapItems"":[{""Id"":""7881206a-84f7-48a2-b3d3-d42023552efb"",""Name"":""Microsoft Server Speech Text to Speech Voice (zh-TW, HsiaoYuNeural)"",""ShortName"":""zh-TW-HsiaoYuNeural"",""Locale"":""zh-TW"",""VoiceType"":""StandardVoice""}]}-->
<!--ID=5B95B1CC-2C7B-494F-B746-CF22A0E779B7;Version=1|{""Locales"":{""zh-TW"":{""AutoApplyCustomLexiconFiles"":[{}]}}}-->
<speak version=""1.0"" xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" xmlns:emo=""http://www.w3.org/2009/10/emotionml"" xml:lang=""zh-TW""><voice name=""zh-TW-HsiaoYuNeural"">二
</voice></speak>"
csl2_rolling-0012,"三
","<!--ID=B7267351-473F-409D-9765-754A8EBCDE05;Version=1|{""VoiceNameToIdMapItems"":[{""Id"":""7881206a-84f7-48a2-b3d3-d42023552efb"",""Name"":""Microsoft Server Speech Text to Speech Voice (zh-TW, HsiaoYuNeural)"",""ShortName"":""zh-TW-HsiaoYuNeural"",""Locale"":""zh-TW"",""VoiceType"":""StandardVoice""}]}-->
<!--ID=5B95B1CC-2C7B-494F-B746-CF22A0E779B7;Version=1|{""Locales"":{""zh-TW"":{""AutoApplyCustomLexiconFiles"":[{}]}}}-->
<speak version=""1.0"" xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" xmlns:emo=""http://www.w3.org/2009/10/emotionml"" xml:lang=""zh-TW""><voice name=""zh-TW-HsiaoYuNeural"">三
</voice></speak>"
csl2_rolling-0013,"四
","<!--ID=B7267351-473F-409D-9765-754A8EBCDE05;Version=1|{""VoiceNameToIdMapItems"":[{""Id"":""7881206a-84f7-48a2-b3d3-d42023552efb"",""Name"":""Microsoft Server Speech Text to Speech Voice (zh-TW, HsiaoYuNeural)"",""ShortName"":""zh-TW-HsiaoYuNeural"",""Locale"":""zh-TW"",""VoiceType"":""StandardVoice""}]}-->
<!--ID=5B95B1CC-2C7B-494F-B746-CF22A0E779B7;Version=1|{""Locales"":{""zh-TW"":{""AutoApplyCustomLexiconFiles"":[{}]}}}-->
<speak version=""1.0"" xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" xmlns:emo=""http://www.w3.org/2009/10/emotionml"" xml:lang=""zh-TW""><voice name=""zh-TW-HsiaoYuNeural"">四
</voice></speak>"
csl2_rolling-0014,"五
","<!--ID=B7267351-473F-409D-9765-754A8EBCDE05;Version=1|{""VoiceNameToIdMapItems"":[{""Id"":""7881206a-84f7-48a2-b3d3-d42023552efb"",""Name"":""Microsoft Server Speech Text to Speech Voice (zh-TW, HsiaoYuNeural)"",""ShortName"":""zh-TW-HsiaoYuNeural"",""Locale"":""zh-TW"",""VoiceType"":""StandardVoice""}]}-->
<!--ID=5B95B1CC-2C7B-494F-B746-CF22A0E779B7;Version=1|{""Locales"":{""zh-TW"":{""AutoApplyCustomLexiconFiles"":[{}]}}}-->
<speak version=""1.0"" xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" xmlns:emo=""http://www.w3.org/2009/10/emotionml"" xml:lang=""zh-TW""><voice name=""zh-TW-HsiaoYuNeural"">五
</voice></speak>"
csl2_rolling-0015,"六
","<!--ID=B7267351-473F-409D-9765-754A8EBCDE05;Version=1|{""VoiceNameToIdMapItems"":[{""Id"":""7881206a-84f7-48a2-b3d3-d42023552efb"",""Name"":""Microsoft Server Speech Text to Speech Voice (zh-TW, HsiaoYuNeural)"",""ShortName"":""zh-TW-HsiaoYuNeural"",""Locale"":""zh-TW"",""VoiceType"":""StandardVoice""}]}-->
<!--ID=5B95B1CC-2C7B-494F-B746-CF22A0E779B7;Version=1|{""Locales"":{""zh-TW"":{""AutoApplyCustomLexiconFiles"":[{}]}}}-->
<speak version=""1.0"" xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" xmlns:emo=""http://www.w3.org/2009/10/emotionml"" xml:lang=""zh-TW""><voice name=""zh-TW-HsiaoYuNeural"">六
</voice></speak>"
csl2_rolling-0016,"七
","<!--ID=B7267351-473F-409D-9765-754A8EBCDE05;Version=1|{""VoiceNameToIdMapItems"":[{""Id"":""7881206a-84f7-48a2-b3d3-d42023552efb"",""Name"":""Microsoft Server Speech Text to Speech Voice (zh-TW, HsiaoYuNeural)"",""ShortName"":""zh-TW-HsiaoYuNeural"",""Locale"":""zh-TW"",""VoiceType"":""StandardVoice""}]}-->
<!--ID=5B95B1CC-2C7B-494F-B746-CF22A0E779B7;Version=1|{""Locales"":{""zh-TW"":{""AutoApplyCustomLexiconFiles"":[{}]}}}-->
<speak version=""1.0"" xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" xmlns:emo=""http://www.w3.org/2009/10/emotionml"" xml:lang=""zh-TW""><voice name=""zh-TW-HsiaoYuNeural"">七
</voice></speak>"
csl2_rolling-0017,"八
","<!--ID=B7267351-473F-409D-9765-754A8EBCDE05;Version=1|{""VoiceNameToIdMapItems"":[{""Id"":""7881206a-84f7-48a2-b3d3-d42023552efb"",""Name"":""Microsoft Server Speech Text to Speech Voice (zh-TW, HsiaoYuNeural)"",""ShortName"":""zh-TW-HsiaoYuNeural"",""Locale"":""zh-TW"",""VoiceType"":""StandardVoice""}]}-->
<!--ID=5B95B1CC-2C7B-494F-B746-CF22A0E779B7;Version=1|{""Locales"":{""zh-TW"":{""AutoApplyCustomLexiconFiles"":[{}]}}}-->
<speak version=""1.0"" xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" xmlns:emo=""http://www.w3.org/2009/10/emotionml"" xml:lang=""zh-TW""><voice name=""zh-TW-HsiaoYuNeural"">八
</voice></speak>"
